image,pose,smile,glasses,gender,eye_detected,mouth_detected,eye_nme,mouth_nme,combined_nme
Aaron_Eckhart_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Aaron_Guiel_0001.jpg,3,1,2,1,0,0,-1,-1,-1
Aaron_Peirsol_0001.jpg,3,1,2,1,0,0,-1,-1,-1
Aaron_Pena_0001.jpg,3,2,2,1,1,1,1.7207,1.6624,1.69155
Aaron_Sorkin_0001.jpg,3,1,2,1,1,1,0.92626,0.682771,0.804516
Aaron_Tippin_0001.jpg,4,2,2,1,0,0,-1,-1,-1
Abba_Eban_0001.jpg,3,1,1,1,1,1,0.610207,0.606666,0.608436
Abdel_Aziz_Al-Hakim_0001.jpg,4,1,1,1,1,1,0.881478,0.112756,0.497117
Abdel_Nasser_Assidi_0001.jpg,3,2,2,1,1,1,0.749296,0.364527,0.556911
Abdulaziz_Kamilov_0001.jpg,3,2,2,1,1,1,1.0857,0.448864,0.76728
Abdullah_0001.jpg,3,2,2,1,1,1,0.802354,0.63048,0.716417
Abdullah_al-Attiyah_0001.jpg,2,2,2,1,1,1,1.73994,0.177063,0.958501
Abdullah_Gul_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Abdullatif_Sener_0001.jpg,3,2,2,1,1,1,1.86051,0.316228,1.08837
Abdul_Majeed_Shobokshi_0001.jpg,5,2,1,1,1,1,1.5032,0.907651,1.20543
Abel_Aguilar_0001.jpg,3,2,2,1,1,1,0.589914,0.957826,0.77387
Abner_Martinez_0001.jpg,3,1,2,1,1,0,0.536235,-1,0.536235
Adam_Ant_0001.jpg,3,2,2,1,1,1,1.54159,0.226815,0.884202
Adam_Herbert_0001.jpg,3,2,1,1,0,0,-1,-1,-1
Adam_Mair_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Adam_Rich_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Adelina_Avila_0001.jpg,3,2,1,2,1,1,0.88862,0.593883,0.741252
Adel_Al-Jubeir_0001.jpg,3,2,2,1,1,1,0.612802,0.600166,0.606484
Adisai_Bodharamik_0001.jpg,3,2,1,1,1,1,1.07572,0.814801,0.945261
Adolfo_Aguilar_Zinser_0001.jpg,3,2,1,1,1,1,0.559313,0.671729,0.615521
Adoor_Gopalakarishnan_0001.jpg,3,2,1,1,1,1,0.575953,0.824633,0.700293
Adriana_Perez_Navarro_0001.jpg,3,1,2,2,0,0,-1,-1,-1
Adrianna_Zuzic_0001.jpg,3,2,2,2,0,0,-1,-1,-1
Adrian_Annus_0001.jpg,4,2,2,1,1,1,0.844051,1.88077,1.36241
Adrian_Fernandez_0001.jpg,3,1,1,1,1,1,1.02472,0.498807,0.761762
Adrian_Murrell_0001.jpg,3,2,2,1,1,1,0.681231,0.645193,0.663212
Adrian_Nastase_0001.jpg,3,2,2,1,1,1,0.526351,0.571772,0.549062
Adrien_Brody_0001.jpg,4,1,2,1,0,0,-1,-1,-1
Afton_Smith_0001.jpg,3,1,2,2,1,1,2.51927,0.652863,1.58607
Agbani_Darego_0001.jpg,3,1,2,2,0,0,-1,-1,-1
Agnelo_Queiroz_0001.jpg,2,2,2,1,1,1,0.969833,0.522681,0.746257
Ahmed_Ahmed_0001.jpg,3,2,2,1,1,1,1.99612,1.95666,1.97639
Ahmed_Chalabi_0001.jpg,3,1,2,1,0,0,-1,-1,-1
Ahmed_Ibrahim_Bilal_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Ahmed_Lopez_0001.jpg,3,1,2,1,1,1,0.654438,0.77027,0.712354
Ahmed_Qureia_0001.jpg,3,1,1,1,0,0,-1,-1,-1
Ahmet_Demir_0001.jpg,4,2,1,1,0,0,-1,-1,-1
Ahmet_Necdet_Sezer_0001.jpg,3,2,2,1,1,1,2.15709,1.11417,1.63563
Aicha_El_Ouafi_0001.jpg,3,2,2,2,1,1,1.07056,1.15529,1.11292
Aidan_Quinn_0001.jpg,3,1,2,1,0,0,-1,-1,-1
Aileen_Riggin_Soule_0001.jpg,3,1,2,2,1,1,0.468656,0.429171,0.448914
Ainsworth_Dyer_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Ain_Seppik_0001.jpg,3,2,1,1,0,0,-1,-1,-1
Aishwarya_Rai_0001.jpg,3,1,2,2,0,0,-1,-1,-1
Aitor_Gonzalez_0001.jpg,3,1,2,1,1,1,1.34918,1.39058,1.36988
Aiysha_Smith_0001.jpg,4,2,2,2,1,1,1.87,0.537958,1.20398
Ajit_Agarkar_0001.jpg,3,1,2,1,1,1,1.21496,0.141421,0.67819
AJ_Cook_0001.jpg,2,1,2,2,1,1,0.764703,1.23616,1.00043
AJ_Lamas_0001.jpg,3,1,2,1,1,1,0.554371,0.900343,0.727357
Akbar_Al_Baker_0001.jpg,3,1,2,1,0,0,-1,-1,-1
