image,pose,smile,glasses,gender,eye_detected,mouth_detected,eye_nme,mouth_nme,combined_nme
Aaron_Eckhart_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Aaron_Guiel_0001.jpg,3,1,2,1,1,1,0.858812,1.35348,1.10615
Aaron_Peirsol_0001.jpg,3,1,2,1,1,0,0.591751,-1,0.591751
Aaron_Pena_0001.jpg,3,2,2,1,1,1,1.20655,1.07246,1.1395
Aaron_Sorkin_0001.jpg,3,1,2,1,1,1,0.707799,0.617454,0.662627
Aaron_Tippin_0001.jpg,4,2,2,1,1,0,0.482729,-1,0.482729
Abba_Eban_0001.jpg,3,1,1,1,1,1,0.558409,0.699448,0.628928
Abdel_Aziz_Al-Hakim_0001.jpg,4,1,1,1,1,1,0.636212,0.587565,0.611889
Abdel_Nasser_Assidi_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Abdulaziz_Kamilov_0001.jpg,3,2,2,1,1,1,0.720407,0.48068,0.600544
Abdullah_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Abdullah_al-Attiyah_0001.jpg,2,2,2,1,0,0,-1,-1,-1
Abdullah_Gul_0001.jpg,3,2,2,1,1,1,0.829569,0.577535,0.703552
Abdullatif_Sener_0001.jpg,3,2,2,1,1,1,1.02294,0.318689,0.670812
Abdul_Majeed_Shobokshi_0001.jpg,5,2,1,1,0,0,-1,-1,-1
Abel_Aguilar_0001.jpg,3,2,2,1,1,1,0.606934,0.801038,0.703986
Abner_Martinez_0001.jpg,3,1,2,1,1,0,1.47985,-1,1.47985
Adam_Ant_0001.jpg,3,2,2,1,1,1,1.06082,0.346744,0.70378
Adam_Herbert_0001.jpg,3,2,1,1,1,1,0.528433,0.743657,0.636045
Adam_Mair_0001.jpg,3,2,2,1,1,1,0.673789,0.74987,0.711829
Adam_Rich_0001.jpg,3,2,2,1,1,0,0.592304,-1,0.592304
Adelina_Avila_0001.jpg,3,2,1,2,1,0,0.57023,-1,0.57023
Adel_Al-Jubeir_0001.jpg,3,2,2,1,1,1,0.538313,0.828349,0.683331
Adisai_Bodharamik_0001.jpg,3,2,1,1,1,0,0.53216,-1,0.53216
Adolfo_Aguilar_Zinser_0001.jpg,3,2,1,1,1,1,0.509512,0.665141,0.587326
Adoor_Gopalakarishnan_0001.jpg,3,2,1,1,1,1,0.492727,1.56178,1.02725
Adriana_Perez_Navarro_0001.jpg,3,1,2,2,1,1,0.686592,0.581667,0.634129
Adrianna_Zuzic_0001.jpg,3,2,2,2,1,1,0.604874,0.850357,0.727615
Adrian_Annus_0001.jpg,4,2,2,1,1,1,0.928545,1.31006,1.1193
Adrian_Fernandez_0001.jpg,3,1,1,1,0,0,-1,-1,-1
Adrian_Murrell_0001.jpg,3,2,2,1,1,1,0.608151,1.38067,0.994411
Adrian_Nastase_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Adrien_Brody_0001.jpg,4,1,2,1,0,0,-1,-1,-1
Afton_Smith_0001.jpg,3,1,2,2,1,1,0.813786,1.54561,1.1797
Agbani_Darego_0001.jpg,3,1,2,2,0,0,-1,-1,-1
Agnelo_Queiroz_0001.jpg,2,2,2,1,1,1,0.994182,0.51398,0.754081
Ahmed_Ahmed_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Ahmed_Chalabi_0001.jpg,3,1,2,1,0,0,-1,-1,-1
Ahmed_Ibrahim_Bilal_0001.jpg,3,2,2,1,1,1,0.638121,0.335926,0.487024
Ahmed_Lopez_0001.jpg,3,1,2,1,1,0,0.854147,-1,0.854147
Ahmed_Qureia_0001.jpg,3,1,1,1,1,1,0.691965,0.456318,0.574141
Ahmet_Demir_0001.jpg,4,2,1,1,0,0,-1,-1,-1
Ahmet_Necdet_Sezer_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Aicha_El_Ouafi_0001.jpg,3,2,2,2,1,1,1.26394,1.85263,1.55828
Aidan_Quinn_0001.jpg,3,1,2,1,1,1,0.59215,0.946864,0.769507
Aileen_Riggin_Soule_0001.jpg,3,1,2,2,1,1,0.370779,0.452943,0.411861
Ainsworth_Dyer_0001.jpg,3,2,2,1,1,1,0.682411,1.05334,0.867874
Ain_Seppik_0001.jpg,3,2,1,1,0,0,-1,-1,-1
Aishwarya_Rai_0001.jpg,3,1,2,2,0,0,-1,-1,-1
Aitor_Gonzalez_0001.jpg,3,1,2,1,1,1,0.53383,0.632456,0.583143
Aiysha_Smith_0001.jpg,4,2,2,2,1,1,0.827718,1.67998,1.25385
Ajit_Agarkar_0001.jpg,3,1,2,1,1,1,0.789087,0.261219,0.525153
AJ_Cook_0001.jpg,2,1,2,2,1,1,1.78399,2.07748,1.93073
AJ_Lamas_0001.jpg,3,1,2,1,0,0,-1,-1,-1
Akbar_Al_Baker_0001.jpg,3,1,2,1,1,1,0.591364,0.418395,0.50488
Akbar_Hashemi_Rafsanjani_0001.jpg,3,2,2,1,1,1,0.598894,0.498062,0.548478
Akiko_Morigami_0001.jpg,3,2,2,2,0,0,-1,-1,-1
Akmal_Taher_0001.jpg,3,1,2,1,1,1,0.643615,1.30427,0.973943
Alanis_Morissette_0001.jpg,2,1,2,2,0,0,-1,-1,-1
Alanna_Ubach_0001.jpg,4,1,2,2,1,1,0.572014,1.43682,1.00442
Alan_Dershowitz_0001.jpg,3,2,1,1,1,1,0.737128,0.344805,0.540966
Alan_Dreher_0001.jpg,3,2,2,1,1,1,0.583249,1.34597,0.964611
Alan_Greenspan_0001.jpg,3,2,1,1,0,0,-1,-1,-1
Alan_Greer_0001.jpg,3,2,2,1,1,1,0.827678,0.499722,0.6637
Alan_Jackson_0001.jpg,3,1,2,1,0,0,-1,-1,-1
Alan_Mulally_0001.jpg,3,2,2,1,1,1,0.653761,1.31954,0.986649
Alan_Stonecipher_0001.jpg,3,2,2,1,1,1,1.16187,0.216005,0.688938
Alan_Tang_Kwong-wing_0001.jpg,3,2,2,1,1,1,0.895545,0.372392,0.633968
Alan_Trammell_0001.jpg,3,1,2,1,1,1,0.5576,0.624083,0.590841
Alan_Zemaitis_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Alastair_Johnston_0001.jpg,3,1,2,1,1,1,0.636114,0.772421,0.704267
Albaro_Recoba_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Alberta_Lee_0001.jpg,3,1,2,2,1,0,0.632424,-1,0.632424
Alberto_Acosta_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Alberto_Fujimori_0001.jpg,3,1,1,1,1,1,0.730179,0.57959,0.654885
Alberto_Gonzales_0001.jpg,3,1,1,1,1,1,0.743198,0.504893,0.624046
Alberto_Ruiz_Gallardon_0001.jpg,3,2,1,1,1,1,0.445418,1.05119,0.748301
Alberto_Sordi_0001.jpg,3,1,2,1,0,0,-1,-1,-1
Albert_Brooks_0001.jpg,3,1,2,1,1,1,1.328,0.829575,1.07879
Albert_Costa_0001.jpg,2,2,2,1,0,0,-1,-1,-1
Albert_Montanes_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Albrecht_Mentz_0001.jpg,3,2,1,1,1,1,0.653836,0.739408,0.696622
Aldo_Paredes_0001.jpg,2,1,2,1,0,0,-1,-1,-1
Alecos_Markides_0001.jpg,3,2,1,1,0,0,-1,-1,-1
Alec_Baldwin_0001.jpg,4,1,2,1,1,1,0.815348,1.02347,0.919408
Alejandro_Atchugarry_0001.jpg,3,1,2,1,0,0,-1,-1,-1
Alejandro_Avila_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Alejandro_Fernandez_0001.jpg,3,1,2,1,1,0,0.608602,-1,0.608602
Alejandro_Gonzalez_Inarritu_0001.jpg,3,1,2,1,1,1,0.74069,0.547497,0.644093
Alejandro_Lembo_0001.jpg,3,1,2,1,1,1,0.909376,1.25057,1.07997
Alejandro_Lerner_0001.jpg,4,1,2,1,1,1,0.561842,0.690535,0.626188
Alejandro_Toledo_0001.jpg,3,2,1,1,1,1,0.569467,0.684133,0.6268
Aleksander_Kwasniewski_0001.jpg,3,1,2,1,0,0,-1,-1,-1
Aleksander_Voloshin_0001.jpg,4,1,2,1,1,1,0.668112,0.225207,0.44666
Alessandra_Cerna_0001.jpg,4,2,2,2,1,1,0.431359,0.531446,0.481402
Alexander_Downer_0001.jpg,4,1,1,1,1,1,0.495773,0.465388,0.480581
Alexandra_Jackson_0001.jpg,2,2,2,1,1,1,1.4113,0.404723,0.908009
Alexandra_Rozovskaya_0001.jpg,2,2,2,2,1,1,0.783227,0.333333,0.55828
Alexandra_Spann_0001.jpg,3,1,2,2,1,0,0.634954,-1,0.634954
Alexandra_Vodjanikova_0001.jpg,3,2,2,2,1,1,0.657276,1.42001,1.03864
Alexandre_Daigle_0001.jpg,3,1,2,1,1,1,0.492208,0.711391,0.6018
Alexandre_Despatie_0001.jpg,3,1,2,1,1,0,0.798704,-1,0.798704
Alexandre_Herchcovitch_0001.jpg,3,2,2,1,1,1,0.538268,0.677034,0.607651
Alexa_Loren_0001.jpg,3,2,2,2,1,1,1.2313,1.33088,1.28109
Alexa_Vega_0001.jpg,3,2,2,2,0,0,-1,-1,-1
Alexis_Bledel_0001.jpg,3,1,2,2,1,1,0.691275,0.300994,0.496135
Alexis_Dennisoff_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Alex_Cabrera_0001.jpg,3,2,2,1,1,1,0.920102,0.392767,0.656435
Alex_Cejka_0001.jpg,3,1,2,1,1,1,0.612577,0.447214,0.529895
Alex_Corretja_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Alex_Gonzalez_0001.jpg,3,2,2,1,1,0,0.598615,-1,0.598615
Alex_Holmes_0001.jpg,3,1,2,1,0,0,-1,-1,-1
Alex_King_0001.jpg,3,2,2,2,1,0,0.708294,-1,0.708294
Alex_Penelas_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Alex_Wallau_0001.jpg,3,1,2,2,1,1,0.639363,0.517447,0.578405
Alex_Zanardi_0001.jpg,3,1,2,1,0,0,-1,-1,-1
Alfonso_Cuaron_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Alfonso_Portillo_0001.jpg,3,1,2,1,1,1,0.625686,0.617436,0.621561
Alfonso_Soriano_0001.jpg,3,1,2,1,1,1,0.551185,0.427498,0.489342
Alfredo_Moreno_0001.jpg,3,1,2,1,1,1,0.752477,0.323694,0.538086
Alfredo_Pena_0001.jpg,3,2,1,1,1,0,0.805107,-1,0.805107
Alfred_Ford_0001.jpg,5,2,2,1,1,1,1.12254,1.87203,1.49728
Alfred_Sant_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Alice_Fisher_0001.jpg,3,2,2,2,1,0,0.812026,-1,0.812026
Alicia_Keys_0001.jpg,3,1,2,2,1,1,0.610822,1.19561,0.903215
Alicia_Molik_0001.jpg,3,2,2,2,1,1,0.677338,1.13097,0.904153
Alicia_Silverstone_0001.jpg,3,1,2,2,1,1,1.56723,2.44135,2.00429
Alicia_Witt_0001.jpg,3,1,2,2,0,0,-1,-1,-1
Alimzhan_Tokhtakhounov_0001.jpg,3,2,2,1,1,1,0.700564,1.08331,0.891938
Alina_Kabaeva_0001.jpg,3,1,2,2,1,1,0.548423,1.28635,0.917388
Aline_Chretien_0001.jpg,3,1,2,2,1,1,0.556683,0.747471,0.652077
Alisha_Richman_0001.jpg,3,2,1,2,0,0,-1,-1,-1
Alistair_MacDonald_0001.jpg,3,1,2,1,0,0,-1,-1,-1
Ali_Abbas_0001.jpg,2,1,2,1,0,0,-1,-1,-1
Ali_Abdullah_Saleh_0001.jpg,4,2,2,1,1,1,1.01889,0.793103,0.905997
Ali_Ahmeti_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Ali_Bin_Hussein_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Ali_Fallahian_0001.jpg,3,2,1,1,0,0,-1,-1,-1
Ali_Naimi_0001.jpg,3,2,1,1,0,0,-1,-1,-1
Allan_Kemakeza_0001.jpg,3,1,2,1,0,0,-1,-1,-1
Allan_Wagner_0001.jpg,3,2,1,1,1,1,1.2204,0.275473,0.747938
Allen_Iverson_0001.jpg,3,2,2,1,1,0,0.68016,-1,0.68016
Allison_Janney_0001.jpg,3,2,2,2,1,1,0.509101,1.32135,0.915225
Allison_Searing_0001.jpg,3,2,2,2,1,0,0.666694,-1,0.666694
Allyson_Felix_0001.jpg,3,2,2,2,1,1,0.876605,1.03229,0.954445
Ally_Sheedy_0001.jpg,3,1,2,2,1,1,0.371085,0.445,0.408042
Alma_Powell_0001.jpg,2,1,1,2,1,1,0.907879,1.55205,1.22996
Almeida_Baptista_0001.jpg,3,2,2,1,1,1,0.955776,0.481307,0.718541
Alonzo_Mourning_0001.jpg,3,2,1,1,0,0,-1,-1,-1
Alvaro_Silva_Calderon_0001.jpg,3,1,1,1,1,1,0.427693,0.914044,0.670868
Alvaro_Uribe_0001.jpg,3,2,1,1,1,1,1.03174,1.15803,1.09489
Alyse_Beaupre_0001.jpg,3,1,2,2,1,0,0.442118,-1,0.442118
Aly_Wagner_0001.jpg,3,1,2,2,0,0,-1,-1,-1
Al_Cardenas_0001.jpg,4,2,2,1,1,1,0.54556,0.460907,0.503233
Al_Davis_0001.jpg,3,1,2,1,0,0,-1,-1,-1
Al_Gore_0001.jpg,2,2,2,1,0,0,-1,-1,-1
Al_Leiter_0001.jpg,3,1,2,1,0,0,-1,-1,-1
Al_Pacino_0001.jpg,3,1,2,1,1,1,0.806577,0.346859,0.576718
Al_Sharpton_0001.jpg,3,2,2,1,0,0,-1,-1,-1
Amanda_Beard_0001.jpg,3,1,2,2,1,1,0.510847,0.833514,0.672181
Amanda_Bynes_0001.jpg,3,1,2,2,1,1,0.620256,0.447317,0.533786
Amanda_Coetzer_0001.jpg,4,2,2,2,1,1,0.555953,1.07436,0.815157
Amanda_Marsh_0001.jpg,4,1,2,2,0,0,-1,-1,-1
Amanda_Plumer_0001.jpg,4,1,2,2,1,1,0.74554,1.20502,0.975279
Amber_Tamblyn_0001.jpg,2,2,2,2,0,0,-1,-1,-1
Amer_al-Saadi_0001.jpg,2,2,2,1,1,1,1.09415,0.312742,0.703446
Amporn_Falise_0001.jpg,3,1,2,2,1,1,1.07593,0.442874,0.7594
Amram_Mitzna_0001.jpg,3,2,1,1,0,0,-1,-1,-1
Amy_Cotton_0001.jpg,3,1,2,2,1,0,0.535707,-1,0.535707
